id	tier	kind	start	end	basis
HF-POD	analysis	covers	2026-07-07	2026-07-13	Investigator testimony about the intrusion window
IOB-CIV	analysis	published	2026-09-03		Internet of Bugs critique; paraphrase only
internetofbugs-civilizations	analysis	published	2026-09-03		Same document as IOB-CIV
internetofbugs-hf-lessons	analysis	covers	2026-07-09	2026-07-13	Carl Brown lessons video; class-2 evidence about the intrusion
EK-TONER	analysis	published	2026-08-18		Klein/Toner interview; title FAQ only
klein-toner-title	analysis	published	2026-08-18		Same document as EK-TONER
shapiro-incentive-gradient	analysis	published	2026-09-06		Derived from post snowflake id; body owner-supplied
greenblatt-astra-alignment	analysis	published	2026-09-03		Investigator reading OpenAI's remediation numbers
robmiles-keeping-ai-in-a-box	analysis	published	2026-07-14		Self-revision of sandbox-it; containment argument
robmiles-sandbox-it	analysis	published	2017-06-23		Computerphile; the take keeping-ai-in-a-box revises
CI-REFUSAL	internal	event	2026-07-15		First stored model-refusal fallback in this project's transcripts
CI-REFUSAL	internal	event	2026-09-05		Second stored model-refusal fallback
path:research/openai-huggingface-dossier.md	internal	covers	2026-04-20	2026-09-01	Local synthesis compiled 30 Aug, updated through 1 Sep
path:research/gemstuffer-2026-09-12.md	internal	covers	2026-05-05	2026-09-14	May incident plus September attribution and response
path:research/participant-updates-2026-09-15.md	internal	covers	2026-08-28	2026-09-15	Post-1-September record; Astra material, METR disclosure, Alabama deadline
path:research/participant-updates-2026-09-15.md	internal	event	2026-09-14		Alabama production deadline passes with nothing public
path:research/cotra-hardfork-interview.md	internal	covers	2026-09-04		Item-by-item assessment of the Hard Fork interview
path:research/pachocki-alien-mind.md	internal	covers	2026-09-06		Item-by-item assessment of An Alien Mind
